All CPC Ads Report - Shopee Indonesia
User Name,tomeame.official
Shop Name,Tome Ame Official Shop
Shop ID,336562772
Report Creation Time,18/05/2026 15:21
Date Period,01/03/2026 - 31/03/2026

Sequence,Ad Name,Status,Ads Type,Product ID,Creative,Bidding Method,Placement,Start Date,End Date,Impression,Clicks,CTR,Conversions,Direct Conversions,Conversion Rate,Direct Conversion Rate,Cost per Conversion,Cost per Direct Conversion,Items Sold,Direct Items Sold,GMV,Direct GMV,Expense,ROAS,Direct ROAS,ACOS,Direct ACOS,Product Impressions,Product Clicks,Product CTR,Voucher Amount,Vouchered Sales
18,TOME AME - ARIRI T SHIRT LONGSLEEVE - KAOS LENGAN PANJANG MOTIF BUNGA,Ongoing,Product Ad,48456043596,-,GMV Max Custom ROAS,All,11/02/2026 00:00:00,Unlimited,283481,10039,3.54%,147,69,1.46%,0.69%,21082.74,44915.41,147,69,33685385,15764665,3099163,10.87,5.09,9.20%,19.66%,-,-,-,0,0
19,Tome Ame - Yuki Striped Boxy Longsleeve,Ongoing,Product Ad,27827098533,-,GMV Max Custom ROAS,All,23/02/2025 00:00:00,Unlimited,281797,8765,3.11%,113,75,1.29%,0.86%,17676.74,26632.96,114,75,24977755,17434731,1997472,12.50,8.73,8.00%,11.46%,-,-,-,0,0
20,TOME AME- CHIRU CARDIGAN - CARDIGAN KNIT WANITA,Ongoing,Product Ad,56056364755,-,GMV Max Custom ROAS,All,27/02/2026 00:00:00,Unlimited,268115,10681,3.98%,139,29,1.30%,0.27%,14794.11,70909.71,141,30,39085716,10710820,2056382,19.01,5.21,5.26%,19.20%,-,-,-,0,0
21,Tome Ame - Kiko Striped Longsleeve,Ongoing,Product Ad,26277097976,-,GMV Max Custom ROAS,All,23/02/2025 00:00:00,Unlimited,249665,11689,4.68%,136,94,1.16%,0.80%,17540.17,25377.27,136,94,30863842,21890725,2385464,12.94,9.18,7.73%,10.90%,-,-,-,0,0
22,Tome Ame - Nara Oversize Tee [5],Ongoing,Product Ad,12086672587,-,GMV Max Custom ROAS,All,24/07/2024 00:00:00,Unlimited,243510,8697,3.57%,84,57,0.97%,0.66%,13344.03,19664.89,84,57,13039815,8042362,1120899,11.63,7.17,8.60%,13.94%,-,-,-,0,0
23,Tome Ame - Nijiko Longsleeve Brown - Atasan Knit Motfif Garis,Ongoing,Product Ad,45053535595,-,GMV Max Custom ROAS,All,31/12/2025 00:00:00,Unlimited,242683,8657,3.57%,130,71,1.50%,0.82%,22317.49,40863.01,130,71,36749798,24225047,2901274,12.67,8.35,7.89%,11.98%,-,-,-,0,0
24,Tome Ame - Hanami Short Polo Shirt - T Shirt Polo Lengan Pendek Aksen Kancing,Ongoing,Product Ad,29292550032,-,GMV Max Custom ROAS,All,10/10/2025 00:00:00,Unlimited,242063,8675,3.58%,105,85,1.21%,0.98%,18806.42,23231.45,106,86,18367307,14487385,1974674,9.30,7.34,10.75%,13.63%,-,-,-,0,0
25,TOME AME - OSUMI STRIPE SHIRT - KEMEJA LENGAN PANJANG WANITA MOTIF BUNGA COTTON STRIPE,Ongoing,Product Ad,54254650757,-,GMV Max Custom ROAS,All,18/01/2026 00:00:00,Unlimited,216461,8066,3.73%,84,62,1.04%,0.77%,27194.36,36843.96,84,62,23768464,18050582,2284326,10.41,7.90,9.61%,12.66%,-,-,-,0,0
26,Tome Ame - Kyoto Longsleeve Dark Green - Kaos Lengan Panjang 24S,Ongoing,Product Ad,29238604746,-,GMV Max Custom ROAS,All,14/07/2025 00:00:00,Unlimited,195508,6329,3.24%,116,49,1.83%,0.77%,19848.23,46987.64,116,49,24441875,11133726,2302394,10.62,4.84,9.42%,20.68%,-,-,-,0,0
27,Tome Ame - Nao Striped Boxy Longsleeve,Ongoing,Product Ad,26227098359,-,GMV Max Custom ROAS,All,23/02/2025 00:00:00,Unlimited,190472,4685,2.46%,85,34,1.81%,0.73%,19907.51,49768.78,85,34,18036625,7916776,1692138,10.66,4.68,9.38%,21.37%,-,-,-,0,0
28,Tome Ame - Kimi Longsleeve Black - Kaos Lengan Panjang Hitam 24S,Ongoing,Product Ad,27138609473,-,GMV Max Custom ROAS,All,14/07/2025 00:00:00,Unlimited,187379,9038,4.82%,191,151,2.11%,1.67%,17482.67,22113.85,194,152,36717208,29150894,3339191,11.00,8.73,9.09%,11.45%,-,-,-,0,0
29,Tome Ame - Hanami Longsleeve Polo Shirt - T Shirt Polo Lengan Panjang Aksen Kancing,Ongoing,Product Ad,43422767923,-,GMV Max Custom ROAS,All,10/10/2025 00:00:00,Unlimited,183310,6615,3.61%,66,46,1.00%,0.70%,19891.81,28540.43,66,46,12618800,8379400,1312860,9.61,6.38,10.40%,15.67%,-,-,-,0,0
30,Tome Ame - Rei Boxy Longsleeve Black,Ongoing,Product Ad,29477475746,-,GMV Max Custom ROAS,All,26/02/2025 00:00:00,Unlimited,178119,4464,2.51%,98,64,2.20%,1.43%,17106.74,26194.70,98,64,18988541,12326886,1676461,11.33,7.35,8.83%,13.60%,-,-,-,0,0
31,Tome Ame - Chiko Plaid Embroidery Shirt - Kemeja Lengan Panjang Motif Kotak,Ongoing,Product Ad,41773325129,-,GMV Max Custom ROAS,All,10/10/2025 00:00:00,Unlimited,177158,7645,4.32%,67,38,0.88%,0.50%,22932.78,40434.11,67,38,16915420,10613899,1536496,11.01,6.91,9.08%,14.48%,-,-,-,0,0
32,Tome Ame - Bunny Pink Longsleeve Tee,Ongoing,Product Ad,28120427993,-,GMV Max Custom ROAS,All,12/12/2024 00:00:00,Unlimited,172841,6318,3.66%,103,62,1.63%,0.98%,18162.98,30173.98,103,62,19359215,11677297,1870787,10.35,6.24,9.66%,16.02%,-,-,-,0,0
