All CPC Ads Report - Shopee Indonesia
User Name,tomeame.official
Shop Name,Tome Ame Official Shop
Shop ID,336562772
Report Creation Time,18/05/2026 15:22
Date Period,01/04/2026 - 30/04/2026

Sequence,Ad Name,Status,Ads Type,Product ID,Creative,Bidding Method,Placement,Start Date,End Date,Impression,Clicks,CTR,Conversions,Direct Conversions,Conversion Rate,Direct Conversion Rate,Cost per Conversion,Cost per Direct Conversion,Items Sold,Direct Items Sold,GMV,Direct GMV,Expense,ROAS,Direct ROAS,ACOS,Direct ACOS,Product Impressions,Product Clicks,Product CTR,Voucher Amount,Vouchered Sales
51,Tome Ame - Miki Rugby Shirt [2],Ongoing,Product Ad,28255396034,-,GMV Max Custom ROAS,All,24/07/2024 00:00:00,Unlimited,48289,2071,4.29%,39,23,1.88%,1.11%,19983.08,33884.36,39,23,10628320,7228200,779340,13.64,9.27,7.33%,10.78%,-,-,-,40935,641500
52,Tome Ame - Yujin Longsleeve Lace Pattern - T Shirt Lengan Panjang Motif Renda,Ongoing,Product Ad,42328597733,-,GMV Max Custom ROAS,All,24/04/2026 00:00:00,Unlimited,39322,1682,4.28%,39,32,2.32%,1.90%,16857.62,20545.22,39,32,7415360,6130800,657447,11.28,9.33,8.87%,10.72%,-,-,-,1412356,7906800
53,TOME AME - REN SHORT SLEEVE - KAOS LENGAN PENDEK MOTIF BUNGA,Ongoing,Product Ad,51456236532,-,GMV Max Custom ROAS,All,27/02/2026 00:00:00,Unlimited,37221,1308,3.51%,33,26,2.52%,1.99%,20625.52,26178.54,33,26,7097382,5744432,680642,10.43,8.44,9.59%,11.85%,-,-,-,499043,2345664
54,Tome Ame - Hanami Longsleeve Polo Shirt - T Shirt Polo Lengan Panjang Aksen Kancing,Ongoing,Product Ad,43422767923,-,GMV Max Custom ROAS,All,10/10/2025 00:00:00,Unlimited,35907,1208,3.36%,17,8,1.41%,0.66%,20753.69,44101.59,17,8,2897035,1421300,352813,8.21,4.03,12.18%,24.82%,-,-,-,76346,555700
55,Tome Ame - Yume Long Sleeve - Longsleeve 24S Two Tone,Ongoing,Product Ad,44652040537,-,GMV Max Custom ROAS,All,27/11/2025 00:00:00,Unlimited,35403,1050,2.97%,18,8,1.71%,0.76%,17120.66,38521.48,18,8,3689750,1767450,308172,11.97,5.74,8.35%,17.44%,-,-,-,240697,1207750
56,TOME AME - ROKU LAYERED SKIRT - ROK LAYER,Ongoing,Product Ad,47005282218,-,GMV Max Custom ROAS,All,24/04/2026 00:00:00,Unlimited,29862,937,3.14%,16,6,1.71%,0.64%,24177.85,64474.28,16,6,3158104,1135554,386846,8.16,2.94,12.25%,34.07%,-,-,-,168828,810798
57,TOME AME - CHIRA PANTS  - CELANA PANJANG WANITA,Ongoing,Product Ad,46056382840,-,GMV Max Custom ROAS,All,24/04/2026 00:00:00,Unlimited,27728,1109,4.00%,23,11,2.07%,0.99%,15993.46,33440.86,24,11,4939000,2220400,367850,13.43,6.04,7.45%,16.57%,-,-,-,652085,3247110
58,Tome Ame - Kiko Striped Longsleeve,Ongoing,Product Ad,26277097976,-,GMV Max Custom ROAS,All,23/02/2025 00:00:00,Unlimited,27387,1594,5.82%,19,12,1.19%,0.75%,14338.73,22703.00,19,12,4244433,2828600,272436,15.58,10.38,6.42%,9.63%,-,-,-,172867,1155800
59,Tome Ame - Mina Striped Oversize Tee Black [5],Ongoing,Product Ad,21126944703,-,GMV Max Custom ROAS,All,24/07/2024 00:00:00,Unlimited,23850,1235,5.18%,28,17,2.27%,1.38%,10345.53,17039.70,28,17,4398001,2462750,289675,15.18,8.50,6.59%,11.76%,-,-,-,71676,856800
60,TOME AME - MOMO STRIPE SHIRT - KEMEJA LENGAN PANJANG WANITA  COTTON STRIPE,Ongoing,Product Ad,48855168612,-,GMV Max Custom ROAS,All,30/01/2026 00:00:00,Unlimited,21981,1154,5.25%,14,3,1.21%,0.26%,14228.97,66401.85,14,3,3630600,931500,199206,18.23,4.68,5.49%,21.39%,-,-,-,0,0
61,Tome Ame - Pichi Jersey Tee - Kaos Jersey 24S Oversized,Ongoing,Product Ad,44952045072,-,GMV Max Custom ROAS,All,12/12/2025 00:00:00,Unlimited,20945,556,2.65%,9,5,1.62%,0.90%,15988.14,28778.65,9,5,1780180,997180,143893,12.37,6.93,8.08%,14.43%,-,-,-,92319,424332
62,Tome Ame - Tomerebi Striped Longsleeve Shirt - Kaos Lengan Panjang Custom Stripe,Ongoing,Product Ad,51302020363,-,GMV Max Custom ROAS,All,29/12/2025 00:00:00,Unlimited,20153,967,4.80%,6,4,0.62%,0.41%,26462.17,39693.25,6,4,1384550,996000,158773,8.72,6.27,11.47%,15.94%,-,-,-,214936,1393900
